"GeneID","BCK_eIF4E_KD_DSG_2020.csv~1","BCK_eIF4E_KD_DSG_2023.xlsx~1","BCK_eIF4E_KD_DSG_2023.xlsx~2","BCK_eIF4E_KD_DSG_2023.xlsx~3","BCK_eIF4E_RIP_2016.csv~1","BCK_eIF4E_RIP_2025.csv~1","BCK_Ezr_RIP_2025.csv~1","JC list_4E interaction proteins.csv~1","JCM_NCBP2_OE_DEG_2024.csv~1","JCM_NCBP2_OE_rMATS_2024.csv~1","MG_eIF4E_OE_DSG_2018.csv~1"
"ENSG00000132781","BCK_eIF4E_KD_DSG_2020.csv~1.5","BCK_eIF4E_KD_DSG_2023.xlsx~1.28","BCK_eIF4E_KD_DSG_2023.xlsx~2.12","BCK_eIF4E_KD_DSG_2023.xlsx~3.22","BCK_eIF4E_RIP_2016.csv~1.744",NA,NA,NA,NA,NA,NA
"ENSG00000132781","BCK_eIF4E_KD_DSG_2020.csv~1.5","BCK_eIF4E_KD_DSG_2023.xlsx~1.28","BCK_eIF4E_KD_DSG_2023.xlsx~2.12","BCK_eIF4E_KD_DSG_2023.xlsx~3.23","BCK_eIF4E_RIP_2016.csv~1.744",NA,NA,NA,NA,NA,NA
"ENSG00000132781","BCK_eIF4E_KD_DSG_2020.csv~1.5","BCK_eIF4E_KD_DSG_2023.xlsx~1.29","BCK_eIF4E_KD_DSG_2023.xlsx~2.10","BCK_eIF4E_KD_DSG_2023.xlsx~3.22","BCK_eIF4E_RIP_2016.csv~1.744",NA,NA,NA,NA,NA,NA
"ENSG00000132781","BCK_eIF4E_KD_DSG_2020.csv~1.5","BCK_eIF4E_KD_DSG_2023.xlsx~1.29","BCK_eIF4E_KD_DSG_2023.xlsx~2.10","BCK_eIF4E_KD_DSG_2023.xlsx~3.23","BCK_eIF4E_RIP_2016.csv~1.744",NA,NA,NA,NA,NA,NA
"ENSG00000132781","BCK_eIF4E_KD_DSG_2020.csv~1.5","BCK_eIF4E_KD_DSG_2023.xlsx~1.29","BCK_eIF4E_KD_DSG_2023.xlsx~2.11","BCK_eIF4E_KD_DSG_2023.xlsx~3.22","BCK_eIF4E_RIP_2016.csv~1.744",NA,NA,NA,NA,NA,NA
"ENSG00000132781","BCK_eIF4E_KD_DSG_2020.csv~1.5","BCK_eIF4E_KD_DSG_2023.xlsx~1.29","BCK_eIF4E_KD_DSG_2023.xlsx~2.11","BCK_eIF4E_KD_DSG_2023.xlsx~3.23","BCK_eIF4E_RIP_2016.csv~1.744",NA,NA,NA,NA,NA,NA
"ENSG00000132781","BCK_eIF4E_KD_DSG_2020.csv~1.5","BCK_eIF4E_KD_DSG_2023.xlsx~1.29","BCK_eIF4E_KD_DSG_2023.xlsx~2.12","BCK_eIF4E_KD_DSG_2023.xlsx~3.22","BCK_eIF4E_RIP_2016.csv~1.744",NA,NA,NA,NA,NA,NA
"ENSG00000132781","BCK_eIF4E_KD_DSG_2020.csv~1.5","BCK_eIF4E_KD_DSG_2023.xlsx~1.29","BCK_eIF4E_KD_DSG_2023.xlsx~2.12","BCK_eIF4E_KD_DSG_2023.xlsx~3.23","BCK_eIF4E_RIP_2016.csv~1.744",NA,NA,NA,NA,NA,NA
"ENSG00000135164","BCK_eIF4E_KD_DSG_2020.csv~1.6",NA,NA,NA,NA,NA,NA,NA,NA,"JCM_NCBP2_OE_rMATS_2024.csv~1.2451",NA
"ENSG00000137474","BCK_eIF4E_KD_DSG_2020.csv~1.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000138161","BCK_eIF4E_KD_DSG_2020.csv~1.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000138834","BCK_eIF4E_KD_DSG_2020.csv~1.9",NA,NA,NA,"BCK_eIF4E_RIP_2016.csv~1.1450",NA,NA,NA,NA,NA,"MG_eIF4E_OE_DSG_2018.csv~1.293"
"ENSG00000140400","BCK_eIF4E_KD_DSG_2020.csv~1.10",NA,"BCK_eIF4E_KD_DSG_2023.xlsx~2.228",NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000140600","BCK_eIF4E_KD_DSG_2020.csv~1.11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000145331","BCK_eIF4E_KD_DSG_2020.csv~1.12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000166478","BCK_eIF4E_KD_DSG_2020.csv~1.13",NA,NA,NA,NA,NA,NA,NA,NA,"JCM_NCBP2_OE_rMATS_2024.csv~1.954",NA
"ENSG00000167925","BCK_eIF4E_KD_DSG_2020.csv~1.14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000168502","BCK_eIF4E_KD_DSG_2020.csv~1.15",NA,"BCK_eIF4E_KD_DSG_2023.xlsx~2.308",NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000196498","BCK_eIF4E_KD_DSG_2020.csv~1.16",NA,NA,NA,"BCK_eIF4E_RIP_2016.csv~1.2668",NA,NA,NA,NA,"JCM_NCBP2_OE_rMATS_2024.csv~1.274",NA
"ENSG00000196498","BCK_eIF4E_KD_DSG_2020.csv~1.16",NA,NA,NA,"BCK_eIF4E_RIP_2016.csv~1.2668",NA,NA,NA,NA,"JCM_NCBP2_OE_rMATS_2024.csv~1.3626",NA
"ENSG00000196498","BCK_eIF4E_KD_DSG_2020.csv~1.16",NA,NA,NA,"BCK_eIF4E_RIP_2016.csv~1.2668",NA,NA,NA,NA,"JCM_NCBP2_OE_rMATS_2024.csv~1.3627",NA
"ENSG00000008128","BCK_eIF4E_KD_DSG_2020.csv~1.17","BCK_eIF4E_KD_DSG_2023.xlsx~1.154",NA,NA,"BCK_eIF4E_RIP_2016.csv~1.3568","BCK_eIF4E_RIP_2025.csv~1.13","BCK_Ezr_RIP_2025.csv~1.4",NA,NA,NA,"MG_eIF4E_OE_DSG_2018.csv~1.37"
"ENSG00000101911","BCK_eIF4E_KD_DSG_2020.csv~1.18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000120265","BCK_eIF4E_KD_DSG_2020.csv~1.19",NA,NA,NA,NA,"BCK_eIF4E_RIP_2025.csv~1.390",NA,NA,NA,"JCM_NCBP2_OE_rMATS_2024.csv~1.610",NA
"ENSG00000120265","BCK_eIF4E_KD_DSG_2020.csv~1.19",NA,NA,NA,NA,"BCK_eIF4E_RIP_2025.csv~1.390",NA,NA,NA,"JCM_NCBP2_OE_rMATS_2024.csv~1.611",NA
"ENSG00000150527","BCK_eIF4E_KD_DSG_2020.csv~1.20","BCK_eIF4E_KD_DSG_2023.xlsx~1.526",NA,NA,NA,NA,NA,NA,NA,"JCM_NCBP2_OE_rMATS_2024.csv~1.2858",NA
"ENSG00000165359","BCK_eIF4E_KD_DSG_2020.csv~1.21",NA,NA,NA,NA,NA,NA,NA,NA,"JCM_NCBP2_OE_rMATS_2024.csv~1.250",NA
"ENSG00000165359","BCK_eIF4E_KD_DSG_2020.csv~1.21",NA,NA,NA,NA,NA,NA,NA,NA,"JCM_NCBP2_OE_rMATS_2024.csv~1.1186",NA
"ENSG00000169247","BCK_eIF4E_KD_DSG_2020.csv~1.22",NA,NA,NA,NA,NA,NA,NA,NA,"JCM_NCBP2_OE_rMATS_2024.csv~1.3283",NA
"ENSG00000198000","BCK_eIF4E_KD_DSG_2020.csv~1.23",NA,NA,NA,"BCK_eIF4E_RIP_2016.csv~1.31",NA,NA,NA,NA,"JCM_NCBP2_OE_rMATS_2024.csv~1.276",NA
"ENSG00000099889","BCK_eIF4E_KD_DSG_2020.csv~1.24","BCK_eIF4E_KD_DSG_2023.xlsx~1.276",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000188687","BCK_eIF4E_KD_DSG_2020.csv~1.25",NA,NA,"BCK_eIF4E_KD_DSG_2023.xlsx~3.745",NA,NA,"BCK_Ezr_RIP_2025.csv~1.280",NA,NA,NA,NA
"ENSG00000213020","BCK_eIF4E_KD_DSG_2020.csv~1.26",NA,NA,NA,NA,NA,NA,NA,NA,"JCM_NCBP2_OE_rMATS_2024.csv~1.3755","MG_eIF4E_OE_DSG_2018.csv~1.413"
"ENSG00000064961","BCK_eIF4E_KD_DSG_2020.csv~1.27",NA,NA,NA,"BCK_eIF4E_RIP_2016.csv~1.2625","BCK_eIF4E_RIP_2025.csv~1.57",NA,NA,NA,NA,NA
"ENSG00000107099","BCK_eIF4E_KD_DSG_2020.csv~1.28",NA,NA,NA,"BCK_eIF4E_RIP_2016.csv~1.972",NA,NA,NA,NA,NA,NA
"ENSG00000111344","BCK_eIF4E_KD_DSG_2020.csv~1.29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000134909","BCK_eIF4E_KD_DSG_2020.csv~1.30",NA,NA,NA,NA,NA,NA,NA,NA,"JCM_NCBP2_OE_rMATS_2024.csv~1.1165",NA
"ENSG00000134909","BCK_eIF4E_KD_DSG_2020.csv~1.30",NA,NA,NA,NA,NA,NA,NA,NA,"JCM_NCBP2_OE_rMATS_2024.csv~1.2434",NA
"ENSG00000145476","BCK_eIF4E_KD_DSG_2020.csv~1.31",NA,NA,NA,NA,NA,NA,NA,NA,"JCM_NCBP2_OE_rMATS_2024.csv~1.1171",NA
"ENSG00000161048","BCK_eIF4E_KD_DSG_2020.csv~1.32",NA,NA,NA,NA,NA,NA,NA,NA,"JCM_NCBP2_OE_rMATS_2024.csv~1.1180",NA
"ENSG00000163728","BCK_eIF4E_KD_DSG_2020.csv~1.33",NA,NA,NA,NA,NA,NA,NA,NA,"JCM_NCBP2_OE_rMATS_2024.csv~1.1183","MG_eIF4E_OE_DSG_2018.csv~1.167"
"ENSG00000164896","BCK_eIF4E_KD_DSG_2020.csv~1.34","BCK_eIF4E_KD_DSG_2023.xlsx~1.84","BCK_eIF4E_KD_DSG_2023.xlsx~2.82",NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000172171","BCK_eIF4E_KD_DSG_2020.csv~1.35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000178761","BCK_eIF4E_KD_DSG_2020.csv~1.36",NA,NA,NA,NA,NA,NA,NA,NA,"JCM_NCBP2_OE_rMATS_2024.csv~1.1196",NA
"ENSG00000178761","BCK_eIF4E_KD_DSG_2020.csv~1.36",NA,NA,NA,NA,NA,NA,NA,NA,"JCM_NCBP2_OE_rMATS_2024.csv~1.3452",NA
"ENSG00000183323","BCK_eIF4E_KD_DSG_2020.csv~1.37",NA,NA,NA,"BCK_eIF4E_RIP_2016.csv~1.2082",NA,"BCK_Ezr_RIP_2025.csv~1.267",NA,NA,"JCM_NCBP2_OE_rMATS_2024.csv~1.3513",NA
"ENSG00000196642","BCK_eIF4E_KD_DSG_2020.csv~1.38",NA,NA,NA,"BCK_eIF4E_RIP_2016.csv~1.1241",NA,NA,NA,NA,NA,NA
"ENSG00000198556","BCK_eIF4E_KD_DSG_2020.csv~1.39",NA,NA,"BCK_eIF4E_KD_DSG_2023.xlsx~3.765",NA,NA,NA,NA,NA,"JCM_NCBP2_OE_rMATS_2024.csv~1.1201",NA
"ENSG00000204351","BCK_eIF4E_KD_DSG_2020.csv~1.40","BCK_eIF4E_KD_DSG_2023.xlsx~1.175",NA,"BCK_eIF4E_KD_DSG_2023.xlsx~3.140",NA,NA,NA,NA,NA,NA,NA
"ENSG00000267272","BCK_eIF4E_KD_DSG_2020.csv~1.41","BCK_eIF4E_KD_DSG_2023.xlsx~1.811",NA,NA,NA,NA,NA,NA,NA,"JCM_NCBP2_OE_rMATS_2024.csv~1.1206",NA
"ENSG00000267272","BCK_eIF4E_KD_DSG_2020.csv~1.41","BCK_eIF4E_KD_DSG_2023.xlsx~1.812",NA,NA,NA,NA,NA,NA,NA,"JCM_NCBP2_OE_rMATS_2024.csv~1.1206",NA
"ENSG00000001631","BCK_eIF4E_KD_DSG_2020.csv~1.42",NA,"BCK_eIF4E_KD_DSG_2023.xlsx~2.92",NA,NA,NA,NA,NA,NA,"JCM_NCBP2_OE_rMATS_2024.csv~1.1210",NA
"ENSG00000001631","BCK_eIF4E_KD_DSG_2020.csv~1.42",NA,"BCK_eIF4E_KD_DSG_2023.xlsx~2.92",NA,NA,NA,NA,NA,NA,"JCM_NCBP2_OE_rMATS_2024.csv~1.1211",NA
"ENSG00000001631","BCK_eIF4E_KD_DSG_2020.csv~1.42",NA,"BCK_eIF4E_KD_DSG_2023.xlsx~2.92",NA,NA,NA,NA,NA,NA,"JCM_NCBP2_OE_rMATS_2024.csv~1.1212",NA
"ENSG00000005243","BCK_eIF4E_KD_DSG_2020.csv~1.43","BCK_eIF4E_KD_DSG_2023.xlsx~1.178",NA,NA,NA,NA,NA,NA,NA,"JCM_NCBP2_OE_rMATS_2024.csv~1.1220",NA
"ENSG00000005243","BCK_eIF4E_KD_DSG_2020.csv~1.43","BCK_eIF4E_KD_DSG_2023.xlsx~1.178",NA,NA,NA,NA,NA,NA,NA,"JCM_NCBP2_OE_rMATS_2024.csv~1.1221",NA
"ENSG00000005243","BCK_eIF4E_KD_DSG_2020.csv~1.43","BCK_eIF4E_KD_DSG_2023.xlsx~1.178",NA,NA,NA,NA,NA,NA,NA,"JCM_NCBP2_OE_rMATS_2024.csv~1.1222",NA
"ENSG00000011332","BCK_eIF4E_KD_DSG_2020.csv~1.44",NA,NA,NA,"BCK_eIF4E_RIP_2016.csv~1.3651",NA,NA,NA,NA,NA,NA
"ENSG00000032742","BCK_eIF4E_KD_DSG_2020.csv~1.45","BCK_eIF4E_KD_DSG_2023.xlsx~1.198","BCK_eIF4E_KD_DSG_2023.xlsx~2.99",NA,NA,NA,NA,NA,NA,"JCM_NCBP2_OE_rMATS_2024.csv~1.318",NA
"ENSG00000032742","BCK_eIF4E_KD_DSG_2020.csv~1.45","BCK_eIF4E_KD_DSG_2023.xlsx~1.198","BCK_eIF4E_KD_DSG_2023.xlsx~2.99",NA,NA,NA,NA,NA,NA,"JCM_NCBP2_OE_rMATS_2024.csv~1.1295",NA
"ENSG00000032742","BCK_eIF4E_KD_DSG_2020.csv~1.45","BCK_eIF4E_KD_DSG_2023.xlsx~1.198","BCK_eIF4E_KD_DSG_2023.xlsx~2.99",NA,NA,NA,NA,NA,NA,"JCM_NCBP2_OE_rMATS_2024.csv~1.1296",NA
"ENSG00000032742","BCK_eIF4E_KD_DSG_2020.csv~1.45","BCK_eIF4E_KD_DSG_2023.xlsx~1.198","BCK_eIF4E_KD_DSG_2023.xlsx~2.99",NA,NA,NA,NA,NA,NA,"JCM_NCBP2_OE_rMATS_2024.csv~1.1297",NA
"ENSG00000047578","BCK_eIF4E_KD_DSG_2020.csv~1.46",NA,NA,"BCK_eIF4E_KD_DSG_2023.xlsx~3.184","BCK_eIF4E_RIP_2016.csv~1.2720",NA,NA,NA,NA,"JCM_NCBP2_OE_rMATS_2024.csv~1.1324",NA
"ENSG00000047578","BCK_eIF4E_KD_DSG_2020.csv~1.46",NA,NA,"BCK_eIF4E_KD_DSG_2023.xlsx~3.184","BCK_eIF4E_RIP_2016.csv~1.2720",NA,NA,NA,NA,"JCM_NCBP2_OE_rMATS_2024.csv~1.1325",NA
"ENSG00000047578","BCK_eIF4E_KD_DSG_2020.csv~1.46",NA,NA,"BCK_eIF4E_KD_DSG_2023.xlsx~3.185","BCK_eIF4E_RIP_2016.csv~1.2720",NA,NA,NA,NA,"JCM_NCBP2_OE_rMATS_2024.csv~1.1324",NA
"ENSG00000047578","BCK_eIF4E_KD_DSG_2020.csv~1.46",NA,NA,"BCK_eIF4E_KD_DSG_2023.xlsx~3.185","BCK_eIF4E_RIP_2016.csv~1.2720",NA,NA,NA,NA,"JCM_NCBP2_OE_rMATS_2024.csv~1.1325",NA
"ENSG00000065621","BCK_eIF4E_KD_DSG_2020.csv~1.47",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000070882","BCK_eIF4E_KD_DSG_2020.csv~1.48",NA,NA,NA,"BCK_eIF4E_RIP_2016.csv~1.19",NA,NA,NA,NA,NA,NA
"ENSG00000078018","BCK_eIF4E_KD_DSG_2020.csv~1.49",NA,NA,NA,NA,NA,NA,NA,NA,"JCM_NCBP2_OE_rMATS_2024.csv~1.1512",NA
"ENSG00000078018","BCK_eIF4E_KD_DSG_2020.csv~1.49",NA,NA,NA,NA,NA,NA,NA,NA,"JCM_NCBP2_OE_rMATS_2024.csv~1.1513",NA
"ENSG00000078018","BCK_eIF4E_KD_DSG_2020.csv~1.49",NA,NA,NA,NA,NA,NA,NA,NA,"JCM_NCBP2_OE_rMATS_2024.csv~1.1514",NA
"ENSG00000078902","BCK_eIF4E_KD_DSG_2020.csv~1.50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000080823","BCK_eIF4E_KD_DSG_2020.csv~1.51",NA,"BCK_eIF4E_KD_DSG_2023.xlsx~2.124",NA,NA,"BCK_eIF4E_RIP_2025.csv~1.105","BCK_Ezr_RIP_2025.csv~1.31",NA,NA,"JCM_NCBP2_OE_rMATS_2024.csv~1.25",NA
"ENSG00000080823","BCK_eIF4E_KD_DSG_2020.csv~1.51",NA,"BCK_eIF4E_KD_DSG_2023.xlsx~2.124",NA,NA,"BCK_eIF4E_RIP_2025.csv~1.105","BCK_Ezr_RIP_2025.csv~1.31",NA,NA,"JCM_NCBP2_OE_rMATS_2024.csv~1.406",NA
"ENSG00000083750","BCK_eIF4E_KD_DSG_2020.csv~1.52",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000084693","BCK_eIF4E_KD_DSG_2020.csv~1.53",NA,NA,NA,"BCK_eIF4E_RIP_2016.csv~1.1881",NA,NA,NA,NA,NA,NA
"ENSG00000085382","BCK_eIF4E_KD_DSG_2020.csv~1.54",NA,NA,NA,NA,NA,NA,NA,NA,"JCM_NCBP2_OE_rMATS_2024.csv~1.1572",NA
"ENSG00000088538","BCK_eIF4E_KD_DSG_2020.csv~1.55",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000090612","BCK_eIF4E_KD_DSG_2020.csv~1.56","BCK_eIF4E_KD_DSG_2023.xlsx~1.265",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000093167","BCK_eIF4E_KD_DSG_2020.csv~1.57","BCK_eIF4E_KD_DSG_2023.xlsx~1.271",NA,NA,NA,NA,NA,NA,NA,"JCM_NCBP2_OE_rMATS_2024.csv~1.440",NA
"ENSG00000093167","BCK_eIF4E_KD_DSG_2020.csv~1.57","BCK_eIF4E_KD_DSG_2023.xlsx~1.271",NA,NA,NA,NA,NA,NA,NA,"JCM_NCBP2_OE_rMATS_2024.csv~1.1651",NA
"ENSG00000099290","BCK_eIF4E_KD_DSG_2020.csv~1.58",NA,NA,"BCK_eIF4E_KD_DSG_2023.xlsx~3.259","BCK_eIF4E_RIP_2016.csv~1.3797",NA,NA,NA,NA,"JCM_NCBP2_OE_rMATS_2024.csv~1.1670","MG_eIF4E_OE_DSG_2018.csv~1.216"
"ENSG00000099290","BCK_eIF4E_KD_DSG_2020.csv~1.58",NA,NA,"BCK_eIF4E_KD_DSG_2023.xlsx~3.259","BCK_eIF4E_RIP_2016.csv~1.3797",NA,NA,NA,NA,"JCM_NCBP2_OE_rMATS_2024.csv~1.1671","MG_eIF4E_OE_DSG_2018.csv~1.216"
"ENSG00000101298","BCK_eIF4E_KD_DSG_2020.csv~1.59",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000101928","BCK_eIF4E_KD_DSG_2020.csv~1.60",NA,"BCK_eIF4E_KD_DSG_2023.xlsx~2.141",NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000108306","BCK_eIF4E_KD_DSG_2020.csv~1.61",NA,NA,NA,"BCK_eIF4E_RIP_2016.csv~1.1659",NA,NA,NA,NA,NA,NA
"ENSG00000111799","BCK_eIF4E_KD_DSG_2020.csv~1.62",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000112234","BCK_eIF4E_KD_DSG_2020.csv~1.63",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000112812","BCK_eIF4E_KD_DSG_2020.csv~1.64",NA,NA,"BCK_eIF4E_KD_DSG_2023.xlsx~3.326","BCK_eIF4E_RIP_2016.csv~1.3662",NA,NA,NA,NA,NA,NA
"ENSG00000114098","BCK_eIF4E_KD_DSG_2020.csv~1.65",NA,NA,NA,NA,NA,NA,NA,NA,"JCM_NCBP2_OE_rMATS_2024.csv~1.2026",NA
"ENSG00000114098","BCK_eIF4E_KD_DSG_2020.csv~1.66",NA,NA,NA,NA,NA,NA,NA,NA,"JCM_NCBP2_OE_rMATS_2024.csv~1.2026",NA
"ENSG00000114098","BCK_eIF4E_KD_DSG_2020.csv~1.67",NA,NA,NA,NA,NA,NA,NA,NA,"JCM_NCBP2_OE_rMATS_2024.csv~1.2026",NA
"ENSG00000114948","BCK_eIF4E_KD_DSG_2020.csv~1.68",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000115020","BCK_eIF4E_KD_DSG_2020.csv~1.69",NA,NA,NA,NA,NA,NA,NA,NA,"JCM_NCBP2_OE_rMATS_2024.csv~1.2050","MG_eIF4E_OE_DSG_2018.csv~1.98"
"ENSG00000115020","BCK_eIF4E_KD_DSG_2020.csv~1.69",NA,NA,NA,NA,NA,NA,NA,NA,"JCM_NCBP2_OE_rMATS_2024.csv~1.2050","MG_eIF4E_OE_DSG_2018.csv~1.252"
"ENSG00000115020","BCK_eIF4E_KD_DSG_2020.csv~1.69",NA,NA,NA,NA,NA,NA,NA,NA,"JCM_NCBP2_OE_rMATS_2024.csv~1.2051","MG_eIF4E_OE_DSG_2018.csv~1.98"
"ENSG00000115020","BCK_eIF4E_KD_DSG_2020.csv~1.69",NA,NA,NA,NA,NA,NA,NA,NA,"JCM_NCBP2_OE_rMATS_2024.csv~1.2051","MG_eIF4E_OE_DSG_2018.csv~1.252"
"ENSG00000115109","BCK_eIF4E_KD_DSG_2020.csv~1.70",NA,NA,NA,NA,NA,NA,NA,NA,"JCM_NCBP2_OE_rMATS_2024.csv~1.567",NA
"ENSG00000115109","BCK_eIF4E_KD_DSG_2020.csv~1.70",NA,NA,NA,NA,NA,NA,NA,NA,"JCM_NCBP2_OE_rMATS_2024.csv~1.2053",NA
"ENSG00000117569","BCK_eIF4E_KD_DSG_2020.csv~1.71","BCK_eIF4E_KD_DSG_2023.xlsx~1.359",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000119684","BCK_eIF4E_KD_DSG_2020.csv~1.72",NA,NA,"BCK_eIF4E_KD_DSG_2023.xlsx~3.362",NA,NA,NA,NA,NA,NA,NA
"ENSG00000120868","BCK_eIF4E_KD_DSG_2020.csv~1.73",NA,NA,NA,"BCK_eIF4E_RIP_2016.csv~1.1232",NA,NA,NA,NA,NA,NA
"ENSG00000122257","BCK_eIF4E_KD_DSG_2020.csv~1.74",NA,NA,NA,"BCK_eIF4E_RIP_2016.csv~1.385",NA,NA,NA,NA,NA,"MG_eIF4E_OE_DSG_2018.csv~1.267"
"ENSG00000123595","BCK_eIF4E_KD_DSG_2020.csv~1.75",NA,NA,NA,NA,NA,NA,NA,NA,"JCM_NCBP2_OE_rMATS_2024.csv~1.2228",NA
"ENSG00000126091","BCK_eIF4E_KD_DSG_2020.csv~1.76","BCK_eIF4E_KD_DSG_2023.xlsx~1.69",NA,NA,NA,NA,NA,NA,NA,"JCM_NCBP2_OE_rMATS_2024.csv~1.2266",NA
