"geneSymbol","BCK_eIF4E_KD_DSG_2020.csv~1","BCK_eIF4E_KD_DSG_2023.xlsx~1","BCK_eIF4E_KD_DSG_2023.xlsx~2","BCK_eIF4E_KD_DSG_2023.xlsx~3","BCK_eIF4E_RIP_2016.csv~1","BCK_eIF4E_RIP_2025.csv~1","BCK_Ezr_RIP_2025.csv~1","JC list_4E interaction proteins.csv~1","JCM_NCBP2_OE_DEG_2024.csv~1","JCM_NCBP2_OE_rMATS_2024.csv~1","MG_eIF4E_OE_DSG_2018.csv~1"
"MUTYH","BCK_eIF4E_KD_DSG_2020.csv~1.5","BCK_eIF4E_KD_DSG_2023.xlsx~1.29","BCK_eIF4E_KD_DSG_2023.xlsx~2.12","BCK_eIF4E_KD_DSG_2023.xlsx~3.22","BCK_eIF4E_RIP_2016.csv~1.744",NA,NA,NA,NA,NA,NA
"MUTYH","BCK_eIF4E_KD_DSG_2020.csv~1.5","BCK_eIF4E_KD_DSG_2023.xlsx~1.29","BCK_eIF4E_KD_DSG_2023.xlsx~2.12","BCK_eIF4E_KD_DSG_2023.xlsx~3.23","BCK_eIF4E_RIP_2016.csv~1.744",NA,NA,NA,NA,NA,NA
"DMTF1","BCK_eIF4E_KD_DSG_2020.csv~1.6",NA,NA,NA,NA,NA,NA,NA,NA,"JCM_NCBP2_OE_rMATS_2024.csv~1.2451",NA
"MYO7A","BCK_eIF4E_KD_DSG_2020.csv~1.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CUZD1","BCK_eIF4E_KD_DSG_2020.csv~1.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MAPK8IP3","BCK_eIF4E_KD_DSG_2020.csv~1.9",NA,NA,NA,"BCK_eIF4E_RIP_2016.csv~1.1450",NA,NA,NA,NA,NA,"MG_eIF4E_OE_DSG_2018.csv~1.293"
"MAN2C1","BCK_eIF4E_KD_DSG_2020.csv~1.10",NA,"BCK_eIF4E_KD_DSG_2023.xlsx~2.228",NA,NA,NA,NA,NA,NA,NA,NA
"SH3GL3","BCK_eIF4E_KD_DSG_2020.csv~1.11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TRMT10A","BCK_eIF4E_KD_DSG_2020.csv~1.12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ZNF143","BCK_eIF4E_KD_DSG_2020.csv~1.13",NA,NA,NA,NA,NA,NA,NA,NA,"JCM_NCBP2_OE_rMATS_2024.csv~1.954",NA
"GHDC","BCK_eIF4E_KD_DSG_2020.csv~1.14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MTCL1","BCK_eIF4E_KD_DSG_2020.csv~1.15",NA,"BCK_eIF4E_KD_DSG_2023.xlsx~2.308",NA,NA,NA,NA,NA,NA,NA,NA
"NCOR2","BCK_eIF4E_KD_DSG_2020.csv~1.16",NA,NA,NA,"BCK_eIF4E_RIP_2016.csv~1.2668",NA,NA,NA,NA,"JCM_NCBP2_OE_rMATS_2024.csv~1.274",NA
"NCOR2","BCK_eIF4E_KD_DSG_2020.csv~1.16",NA,NA,NA,"BCK_eIF4E_RIP_2016.csv~1.2668",NA,NA,NA,NA,"JCM_NCBP2_OE_rMATS_2024.csv~1.3626",NA
"NCOR2","BCK_eIF4E_KD_DSG_2020.csv~1.16",NA,NA,NA,"BCK_eIF4E_RIP_2016.csv~1.2668",NA,NA,NA,NA,"JCM_NCBP2_OE_rMATS_2024.csv~1.3627",NA
"CDK11A","BCK_eIF4E_KD_DSG_2020.csv~1.17","BCK_eIF4E_KD_DSG_2023.xlsx~1.154",NA,NA,"BCK_eIF4E_RIP_2016.csv~1.3568","BCK_eIF4E_RIP_2025.csv~1.13","BCK_Ezr_RIP_2025.csv~1.4",NA,NA,NA,"MG_eIF4E_OE_DSG_2018.csv~1.37"
"PRPS2","BCK_eIF4E_KD_DSG_2020.csv~1.18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PCMT1","BCK_eIF4E_KD_DSG_2020.csv~1.19",NA,NA,NA,NA,"BCK_eIF4E_RIP_2025.csv~1.390",NA,NA,NA,"JCM_NCBP2_OE_rMATS_2024.csv~1.610",NA
"PCMT1","BCK_eIF4E_KD_DSG_2020.csv~1.19",NA,NA,NA,NA,"BCK_eIF4E_RIP_2025.csv~1.390",NA,NA,NA,"JCM_NCBP2_OE_rMATS_2024.csv~1.611",NA
"MIA2","BCK_eIF4E_KD_DSG_2020.csv~1.20","BCK_eIF4E_KD_DSG_2023.xlsx~1.526",NA,NA,NA,NA,NA,NA,NA,"JCM_NCBP2_OE_rMATS_2024.csv~1.2858",NA
"INTS6L","BCK_eIF4E_KD_DSG_2020.csv~1.21",NA,NA,NA,NA,NA,NA,NA,NA,"JCM_NCBP2_OE_rMATS_2024.csv~1.250",NA
"INTS6L","BCK_eIF4E_KD_DSG_2020.csv~1.21",NA,NA,NA,NA,NA,NA,NA,NA,"JCM_NCBP2_OE_rMATS_2024.csv~1.1186",NA
"SH3TC2","BCK_eIF4E_KD_DSG_2020.csv~1.22",NA,NA,NA,NA,NA,NA,NA,NA,"JCM_NCBP2_OE_rMATS_2024.csv~1.3283",NA
"NOL8","BCK_eIF4E_KD_DSG_2020.csv~1.23",NA,NA,NA,"BCK_eIF4E_RIP_2016.csv~1.31",NA,NA,NA,NA,"JCM_NCBP2_OE_rMATS_2024.csv~1.276",NA
"ARVCF","BCK_eIF4E_KD_DSG_2020.csv~1.24","BCK_eIF4E_KD_DSG_2023.xlsx~1.276",NA,NA,NA,NA,NA,NA,NA,NA,NA
"SLC4A5","BCK_eIF4E_KD_DSG_2020.csv~1.25",NA,NA,"BCK_eIF4E_KD_DSG_2023.xlsx~3.745",NA,NA,"BCK_Ezr_RIP_2025.csv~1.280",NA,NA,NA,NA
"ZNF611","BCK_eIF4E_KD_DSG_2020.csv~1.26",NA,NA,NA,NA,NA,NA,NA,NA,"JCM_NCBP2_OE_rMATS_2024.csv~1.3755","MG_eIF4E_OE_DSG_2018.csv~1.413"
"HMG20B","BCK_eIF4E_KD_DSG_2020.csv~1.27",NA,NA,NA,"BCK_eIF4E_RIP_2016.csv~1.2625","BCK_eIF4E_RIP_2025.csv~1.57",NA,NA,NA,NA,NA
"DOCK8","BCK_eIF4E_KD_DSG_2020.csv~1.28",NA,NA,NA,"BCK_eIF4E_RIP_2016.csv~1.972",NA,NA,NA,NA,NA,NA
"RASAL1","BCK_eIF4E_KD_DSG_2020.csv~1.29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARHGAP32","BCK_eIF4E_KD_DSG_2020.csv~1.30",NA,NA,NA,NA,NA,NA,NA,NA,"JCM_NCBP2_OE_rMATS_2024.csv~1.1165",NA
"ARHGAP32","BCK_eIF4E_KD_DSG_2020.csv~1.30",NA,NA,NA,NA,NA,NA,NA,NA,"JCM_NCBP2_OE_rMATS_2024.csv~1.2434",NA
"CYP4V2","BCK_eIF4E_KD_DSG_2020.csv~1.31",NA,NA,NA,NA,NA,NA,NA,NA,"JCM_NCBP2_OE_rMATS_2024.csv~1.1171",NA
"NAPEPLD","BCK_eIF4E_KD_DSG_2020.csv~1.32",NA,NA,NA,NA,NA,NA,NA,NA,"JCM_NCBP2_OE_rMATS_2024.csv~1.1180",NA
