"geneSymbol","BCK_eIF4E_KD_DSG_2020.csv~1","BCK_eIF4E_KD_DSG_2023.xlsx~1","BCK_eIF4E_KD_DSG_2023.xlsx~2","BCK_eIF4E_KD_DSG_2023.xlsx~3","BCK_eIF4E_RIP_2016.csv~1","BCK_eIF4E_RIP_2025.csv~1","BCK_Ezr_RIP_2025.csv~1","JC list_4E interaction proteins.csv~1","JCM_NCBP2_OE_DEG_2024.csv~1","JCM_NCBP2_OE_rMATS_2024.csv~1","MG_eIF4E_OE_DSG_2018.csv~1"
"LYRM1",NA,"BCK_eIF4E_KD_DSG_2023.xlsx~1.298",NA,"BCK_eIF4E_KD_DSG_2023.xlsx~3.275",NA,NA,NA,NA,NA,"JCM_NCBP2_OE_rMATS_2024.csv~1.1777",NA
"LYRM1",NA,"BCK_eIF4E_KD_DSG_2023.xlsx~1.298",NA,"BCK_eIF4E_KD_DSG_2023.xlsx~3.275",NA,NA,NA,NA,NA,"JCM_NCBP2_OE_rMATS_2024.csv~1.1778",NA
"TAF1C",NA,"BCK_eIF4E_KD_DSG_2023.xlsx~1.299",NA,NA,"BCK_eIF4E_RIP_2016.csv~1.949",NA,NA,NA,NA,NA,NA
"NAGPA",NA,"BCK_eIF4E_KD_DSG_2023.xlsx~1.300",NA,NA,NA,NA,NA,NA,NA,NA,NA
"TSC2",NA,"BCK_eIF4E_KD_DSG_2023.xlsx~1.301",NA,NA,"BCK_eIF4E_RIP_2016.csv~1.750",NA,NA,NA,NA,"JCM_NCBP2_OE_rMATS_2024.csv~1.1786",NA
"TTC23",NA,"BCK_eIF4E_KD_DSG_2023.xlsx~1.302","BCK_eIF4E_KD_DSG_2023.xlsx~2.144","BCK_eIF4E_KD_DSG_2023.xlsx~3.282",NA,NA,NA,NA,NA,"JCM_NCBP2_OE_rMATS_2024.csv~1.1795",NA
"DMXL2",NA,"BCK_eIF4E_KD_DSG_2023.xlsx~1.303",NA,NA,NA,NA,NA,NA,NA,NA,NA
"DMXL2",NA,"BCK_eIF4E_KD_DSG_2023.xlsx~1.304",NA,NA,NA,NA,NA,NA,NA,NA,NA
"BLOC1S6",NA,"BCK_eIF4E_KD_DSG_2023.xlsx~1.305",NA,NA,NA,NA,NA,NA,NA,"JCM_NCBP2_OE_rMATS_2024.csv~1.486",NA
"BLOC1S6",NA,"BCK_eIF4E_KD_DSG_2023.xlsx~1.305",NA,NA,NA,NA,NA,NA,NA,"JCM_NCBP2_OE_rMATS_2024.csv~1.1800",NA
"MYEF2",NA,"BCK_eIF4E_KD_DSG_2023.xlsx~1.306",NA,NA,NA,NA,NA,NA,NA,"JCM_NCBP2_OE_rMATS_2024.csv~1.487",NA
"MYEF2",NA,"BCK_eIF4E_KD_DSG_2023.xlsx~1.306",NA,NA,NA,NA,NA,NA,NA,"JCM_NCBP2_OE_rMATS_2024.csv~1.1801",NA
"MYEF2",NA,"BCK_eIF4E_KD_DSG_2023.xlsx~1.306",NA,NA,NA,NA,NA,NA,NA,"JCM_NCBP2_OE_rMATS_2024.csv~1.1802",NA
"STK3",NA,"BCK_eIF4E_KD_DSG_2023.xlsx~1.307",NA,NA,NA,NA,"BCK_Ezr_RIP_2025.csv~1.56",NA,NA,"JCM_NCBP2_OE_rMATS_2024.csv~1.489",NA
"STK3",NA,"BCK_eIF4E_KD_DSG_2023.xlsx~1.307",NA,NA,NA,NA,"BCK_Ezr_RIP_2025.csv~1.56",NA,NA,"JCM_NCBP2_OE_rMATS_2024.csv~1.1808",NA
"TUSC3",NA,"BCK_eIF4E_KD_DSG_2023.xlsx~1.308",NA,NA,NA,NA,NA,NA,NA,NA,NA
"VRK3",NA,"BCK_eIF4E_KD_DSG_2023.xlsx~1.310",NA,NA,"BCK_eIF4E_RIP_2016.csv~1.808",NA,NA,NA,NA,NA,NA
"CD33",NA,"BCK_eIF4E_KD_DSG_2023.xlsx~1.311",NA,NA,NA,NA,NA,NA,"JCM_NCBP2_OE_DEG_2024.csv~1.31",NA,NA
"BCAT2",NA,"BCK_eIF4E_KD_DSG_2023.xlsx~1.312",NA,NA,"BCK_eIF4E_RIP_2016.csv~1.1036",NA,NA,NA,NA,"JCM_NCBP2_OE_rMATS_2024.csv~1.1834",NA
"GTPBP10",NA,"BCK_eIF4E_KD_DSG_2023.xlsx~1.313",NA,NA,NA,NA,NA,NA,NA,"JCM_NCBP2_OE_rMATS_2024.csv~1.496",NA
"TSPAN12",NA,"BCK_eIF4E_KD_DSG_2023.xlsx~1.314",NA,NA,NA,NA,NA,NA,NA,"JCM_NCBP2_OE_rMATS_2024.csv~1.1848",NA
"GRB10",NA,"BCK_eIF4E_KD_DSG_2023.xlsx~1.315","BCK_eIF4E_KD_DSG_2023.xlsx~2.149","BCK_eIF4E_KD_DSG_2023.xlsx~3.89",NA,NA,NA,NA,NA,"JCM_NCBP2_OE_rMATS_2024.csv~1.500",NA
"GRB10",NA,"BCK_eIF4E_KD_DSG_2023.xlsx~1.315","BCK_eIF4E_KD_DSG_2023.xlsx~2.149","BCK_eIF4E_KD_DSG_2023.xlsx~3.89",NA,NA,NA,NA,NA,"JCM_NCBP2_OE_rMATS_2024.csv~1.1849",NA
"GRB10",NA,"BCK_eIF4E_KD_DSG_2023.xlsx~1.315","BCK_eIF4E_KD_DSG_2023.xlsx~2.149","BCK_eIF4E_KD_DSG_2023.xlsx~3.89",NA,NA,NA,NA,NA,"JCM_NCBP2_OE_rMATS_2024.csv~1.1850",NA
"GRB10",NA,"BCK_eIF4E_KD_DSG_2023.xlsx~1.315","BCK_eIF4E_KD_DSG_2023.xlsx~2.149","BCK_eIF4E_KD_DSG_2023.xlsx~3.89",NA,NA,NA,NA,NA,"JCM_NCBP2_OE_rMATS_2024.csv~1.1851",NA
"GRB10",NA,"BCK_eIF4E_KD_DSG_2023.xlsx~1.315","BCK_eIF4E_KD_DSG_2023.xlsx~2.149","BCK_eIF4E_KD_DSG_2023.xlsx~3.89",NA,NA,NA,NA,NA,"JCM_NCBP2_OE_rMATS_2024.csv~1.1852",NA
"GRB10",NA,"BCK_eIF4E_KD_DSG_2023.xlsx~1.315","BCK_eIF4E_KD_DSG_2023.xlsx~2.149","BCK_eIF4E_KD_DSG_2023.xlsx~3.89",NA,NA,NA,NA,NA,"JCM_NCBP2_OE_rMATS_2024.csv~1.1853",NA
"GRB10",NA,"BCK_eIF4E_KD_DSG_2023.xlsx~1.315","BCK_eIF4E_KD_DSG_2023.xlsx~2.149","BCK_eIF4E_KD_DSG_2023.xlsx~3.89",NA,NA,NA,NA,NA,"JCM_NCBP2_OE_rMATS_2024.csv~1.1854",NA
"GRB10",NA,"BCK_eIF4E_KD_DSG_2023.xlsx~1.316","BCK_eIF4E_KD_DSG_2023.xlsx~2.149","BCK_eIF4E_KD_DSG_2023.xlsx~3.89",NA,NA,NA,NA,NA,"JCM_NCBP2_OE_rMATS_2024.csv~1.500",NA
"GRB10",NA,"BCK_eIF4E_KD_DSG_2023.xlsx~1.316","BCK_eIF4E_KD_DSG_2023.xlsx~2.149","BCK_eIF4E_KD_DSG_2023.xlsx~3.89",NA,NA,NA,NA,NA,"JCM_NCBP2_OE_rMATS_2024.csv~1.1849",NA
"GRB10",NA,"BCK_eIF4E_KD_DSG_2023.xlsx~1.316","BCK_eIF4E_KD_DSG_2023.xlsx~2.149","BCK_eIF4E_KD_DSG_2023.xlsx~3.89",NA,NA,NA,NA,NA,"JCM_NCBP2_OE_rMATS_2024.csv~1.1850",NA
"GRB10",NA,"BCK_eIF4E_KD_DSG_2023.xlsx~1.316","BCK_eIF4E_KD_DSG_2023.xlsx~2.149","BCK_eIF4E_KD_DSG_2023.xlsx~3.89",NA,NA,NA,NA,NA,"JCM_NCBP2_OE_rMATS_2024.csv~1.1851",NA
"GRB10",NA,"BCK_eIF4E_KD_DSG_2023.xlsx~1.316","BCK_eIF4E_KD_DSG_2023.xlsx~2.149","BCK_eIF4E_KD_DSG_2023.xlsx~3.89",NA,NA,NA,NA,NA,"JCM_NCBP2_OE_rMATS_2024.csv~1.1852",NA
"GRB10",NA,"BCK_eIF4E_KD_DSG_2023.xlsx~1.316","BCK_eIF4E_KD_DSG_2023.xlsx~2.149","BCK_eIF4E_KD_DSG_2023.xlsx~3.89",NA,NA,NA,NA,NA,"JCM_NCBP2_OE_rMATS_2024.csv~1.1853",NA
"GRB10",NA,"BCK_eIF4E_KD_DSG_2023.xlsx~1.316","BCK_eIF4E_KD_DSG_2023.xlsx~2.149","BCK_eIF4E_KD_DSG_2023.xlsx~3.89",NA,NA,NA,NA,NA,"JCM_NCBP2_OE_rMATS_2024.csv~1.1854",NA
"GRB10",NA,"BCK_eIF4E_KD_DSG_2023.xlsx~1.317","BCK_eIF4E_KD_DSG_2023.xlsx~2.149","BCK_eIF4E_KD_DSG_2023.xlsx~3.89",NA,NA,NA,NA,NA,"JCM_NCBP2_OE_rMATS_2024.csv~1.500",NA
"GRB10",NA,"BCK_eIF4E_KD_DSG_2023.xlsx~1.317","BCK_eIF4E_KD_DSG_2023.xlsx~2.149","BCK_eIF4E_KD_DSG_2023.xlsx~3.89",NA,NA,NA,NA,NA,"JCM_NCBP2_OE_rMATS_2024.csv~1.1849",NA
"GRB10",NA,"BCK_eIF4E_KD_DSG_2023.xlsx~1.317","BCK_eIF4E_KD_DSG_2023.xlsx~2.149","BCK_eIF4E_KD_DSG_2023.xlsx~3.89",NA,NA,NA,NA,NA,"JCM_NCBP2_OE_rMATS_2024.csv~1.1850",NA
"GRB10",NA,"BCK_eIF4E_KD_DSG_2023.xlsx~1.317","BCK_eIF4E_KD_DSG_2023.xlsx~2.149","BCK_eIF4E_KD_DSG_2023.xlsx~3.89",NA,NA,NA,NA,NA,"JCM_NCBP2_OE_rMATS_2024.csv~1.1851",NA
"GRB10",NA,"BCK_eIF4E_KD_DSG_2023.xlsx~1.317","BCK_eIF4E_KD_DSG_2023.xlsx~2.149","BCK_eIF4E_KD_DSG_2023.xlsx~3.89",NA,NA,NA,NA,NA,"JCM_NCBP2_OE_rMATS_2024.csv~1.1852",NA
"GRB10",NA,"BCK_eIF4E_KD_DSG_2023.xlsx~1.317","BCK_eIF4E_KD_DSG_2023.xlsx~2.149","BCK_eIF4E_KD_DSG_2023.xlsx~3.89",NA,NA,NA,NA,NA,"JCM_NCBP2_OE_rMATS_2024.csv~1.1853",NA
"GRB10",NA,"BCK_eIF4E_KD_DSG_2023.xlsx~1.317","BCK_eIF4E_KD_DSG_2023.xlsx~2.149","BCK_eIF4E_KD_DSG_2023.xlsx~3.89",NA,NA,NA,NA,NA,"JCM_NCBP2_OE_rMATS_2024.csv~1.1854",NA
"GRB10",NA,"BCK_eIF4E_KD_DSG_2023.xlsx~1.318","BCK_eIF4E_KD_DSG_2023.xlsx~2.149","BCK_eIF4E_KD_DSG_2023.xlsx~3.89",NA,NA,NA,NA,NA,"JCM_NCBP2_OE_rMATS_2024.csv~1.500",NA
"GRB10",NA,"BCK_eIF4E_KD_DSG_2023.xlsx~1.318","BCK_eIF4E_KD_DSG_2023.xlsx~2.149","BCK_eIF4E_KD_DSG_2023.xlsx~3.89",NA,NA,NA,NA,NA,"JCM_NCBP2_OE_rMATS_2024.csv~1.1849",NA
"GRB10",NA,"BCK_eIF4E_KD_DSG_2023.xlsx~1.318","BCK_eIF4E_KD_DSG_2023.xlsx~2.149","BCK_eIF4E_KD_DSG_2023.xlsx~3.89",NA,NA,NA,NA,NA,"JCM_NCBP2_OE_rMATS_2024.csv~1.1850",NA
"GRB10",NA,"BCK_eIF4E_KD_DSG_2023.xlsx~1.318","BCK_eIF4E_KD_DSG_2023.xlsx~2.149","BCK_eIF4E_KD_DSG_2023.xlsx~3.89",NA,NA,NA,NA,NA,"JCM_NCBP2_OE_rMATS_2024.csv~1.1851",NA
"GRB10",NA,"BCK_eIF4E_KD_DSG_2023.xlsx~1.318","BCK_eIF4E_KD_DSG_2023.xlsx~2.149","BCK_eIF4E_KD_DSG_2023.xlsx~3.89",NA,NA,NA,NA,NA,"JCM_NCBP2_OE_rMATS_2024.csv~1.1852",NA
"GRB10",NA,"BCK_eIF4E_KD_DSG_2023.xlsx~1.318","BCK_eIF4E_KD_DSG_2023.xlsx~2.149","BCK_eIF4E_KD_DSG_2023.xlsx~3.89",NA,NA,NA,NA,NA,"JCM_NCBP2_OE_rMATS_2024.csv~1.1853",NA
"GRB10",NA,"BCK_eIF4E_KD_DSG_2023.xlsx~1.318","BCK_eIF4E_KD_DSG_2023.xlsx~2.149","BCK_eIF4E_KD_DSG_2023.xlsx~3.89",NA,NA,NA,NA,NA,"JCM_NCBP2_OE_rMATS_2024.csv~1.1854",NA
"RBM28",NA,"BCK_eIF4E_KD_DSG_2023.xlsx~1.319",NA,NA,"BCK_eIF4E_RIP_2016.csv~1.2737",NA,NA,NA,NA,NA,NA
"RARRES2",NA,"BCK_eIF4E_KD_DSG_2023.xlsx~1.320",NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHCHD3",NA,"BCK_eIF4E_KD_DSG_2023.xlsx~1.321",NA,NA,NA,"BCK_eIF4E_RIP_2025.csv~1.260",NA,NA,NA,NA,NA
"CNTNAP3",NA,"BCK_eIF4E_KD_DSG_2023.xlsx~1.322",NA,NA,NA,NA,NA,NA,NA,NA,NA
"MPDZ",NA,"BCK_eIF4E_KD_DSG_2023.xlsx~1.323",NA,NA,NA,NA,NA,NA,NA,NA,"MG_eIF4E_OE_DSG_2018.csv~1.85"
"NSMCE4A",NA,"BCK_eIF4E_KD_DSG_2023.xlsx~1.324",NA,NA,"BCK_eIF4E_RIP_2016.csv~1.2497",NA,NA,NA,NA,NA,NA
"UNC5B",NA,"BCK_eIF4E_KD_DSG_2023.xlsx~1.325",NA,NA,NA,NA,NA,NA,NA,NA,NA
"CCNY",NA,"BCK_eIF4E_KD_DSG_2023.xlsx~1.326",NA,NA,NA,NA,NA,NA,NA,"JCM_NCBP2_OE_rMATS_2024.csv~1.509","MG_eIF4E_OE_DSG_2018.csv~1.234"
"CCNY",NA,"BCK_eIF4E_KD_DSG_2023.xlsx~1.326",NA,NA,NA,NA,NA,NA,NA,"JCM_NCBP2_OE_rMATS_2024.csv~1.510","MG_eIF4E_OE_DSG_2018.csv~1.234"
"CCNY",NA,"BCK_eIF4E_KD_DSG_2023.xlsx~1.326",NA,NA,NA,NA,NA,NA,NA,"JCM_NCBP2_OE_rMATS_2024.csv~1.511","MG_eIF4E_OE_DSG_2018.csv~1.234"
"CCNY",NA,"BCK_eIF4E_KD_DSG_2023.xlsx~1.326",NA,NA,NA,NA,NA,NA,NA,"JCM_NCBP2_OE_rMATS_2024.csv~1.1892","MG_eIF4E_OE_DSG_2018.csv~1.234"
"CCNY",NA,"BCK_eIF4E_KD_DSG_2023.xlsx~1.326",NA,NA,NA,NA,NA,NA,NA,"JCM_NCBP2_OE_rMATS_2024.csv~1.1893","MG_eIF4E_OE_DSG_2018.csv~1.234"
"CCNY",NA,"BCK_eIF4E_KD_DSG_2023.xlsx~1.326",NA,NA,NA,NA,NA,NA,NA,"JCM_NCBP2_OE_rMATS_2024.csv~1.1894","MG_eIF4E_OE_DSG_2018.csv~1.234"
"CCNY",NA,"BCK_eIF4E_KD_DSG_2023.xlsx~1.327",NA,NA,NA,NA,NA,NA,NA,"JCM_NCBP2_OE_rMATS_2024.csv~1.509","MG_eIF4E_OE_DSG_2018.csv~1.234"
"CCNY",NA,"BCK_eIF4E_KD_DSG_2023.xlsx~1.327",NA,NA,NA,NA,NA,NA,NA,"JCM_NCBP2_OE_rMATS_2024.csv~1.510","MG_eIF4E_OE_DSG_2018.csv~1.234"
"CCNY",NA,"BCK_eIF4E_KD_DSG_2023.xlsx~1.327",NA,NA,NA,NA,NA,NA,NA,"JCM_NCBP2_OE_rMATS_2024.csv~1.511","MG_eIF4E_OE_DSG_2018.csv~1.234"
"CCNY",NA,"BCK_eIF4E_KD_DSG_2023.xlsx~1.327",NA,NA,NA,NA,NA,NA,NA,"JCM_NCBP2_OE_rMATS_2024.csv~1.1892","MG_eIF4E_OE_DSG_2018.csv~1.234"
"CCNY",NA,"BCK_eIF4E_KD_DSG_2023.xlsx~1.327",NA,NA,NA,NA,NA,NA,NA,"JCM_NCBP2_OE_rMATS_2024.csv~1.1893","MG_eIF4E_OE_DSG_2018.csv~1.234"
"CCNY",NA,"BCK_eIF4E_KD_DSG_2023.xlsx~1.327",NA,NA,NA,NA,NA,NA,NA,"JCM_NCBP2_OE_rMATS_2024.csv~1.1894","MG_eIF4E_OE_DSG_2018.csv~1.234"
"CCNY",NA,"BCK_eIF4E_KD_DSG_2023.xlsx~1.328",NA,NA,NA,NA,NA,NA,NA,"JCM_NCBP2_OE_rMATS_2024.csv~1.509","MG_eIF4E_OE_DSG_2018.csv~1.234"
"CCNY",NA,"BCK_eIF4E_KD_DSG_2023.xlsx~1.328",NA,NA,NA,NA,NA,NA,NA,"JCM_NCBP2_OE_rMATS_2024.csv~1.510","MG_eIF4E_OE_DSG_2018.csv~1.234"
"CCNY",NA,"BCK_eIF4E_KD_DSG_2023.xlsx~1.328",NA,NA,NA,NA,NA,NA,NA,"JCM_NCBP2_OE_rMATS_2024.csv~1.511","MG_eIF4E_OE_DSG_2018.csv~1.234"
"CCNY",NA,"BCK_eIF4E_KD_DSG_2023.xlsx~1.328",NA,NA,NA,NA,NA,NA,NA,"JCM_NCBP2_OE_rMATS_2024.csv~1.1892","MG_eIF4E_OE_DSG_2018.csv~1.234"
"CCNY",NA,"BCK_eIF4E_KD_DSG_2023.xlsx~1.328",NA,NA,NA,NA,NA,NA,NA,"JCM_NCBP2_OE_rMATS_2024.csv~1.1893","MG_eIF4E_OE_DSG_2018.csv~1.234"
"CCNY",NA,"BCK_eIF4E_KD_DSG_2023.xlsx~1.328",NA,NA,NA,NA,NA,NA,NA,"JCM_NCBP2_OE_rMATS_2024.csv~1.1894","MG_eIF4E_OE_DSG_2018.csv~1.234"
"MPP2",NA,"BCK_eIF4E_KD_DSG_2023.xlsx~1.329",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ELF2",NA,"BCK_eIF4E_KD_DSG_2023.xlsx~1.330",NA,NA,NA,NA,NA,NA,NA,"JCM_NCBP2_OE_rMATS_2024.csv~1.56",NA
"CTSC",NA,"BCK_eIF4E_KD_DSG_2023.xlsx~1.331",NA,NA,NA,NA,NA,NA,NA,NA,"MG_eIF4E_OE_DSG_2018.csv~1.237"
"PPP6R3",NA,"BCK_eIF4E_KD_DSG_2023.xlsx~1.332",NA,NA,NA,NA,NA,NA,NA,"JCM_NCBP2_OE_rMATS_2024.csv~1.529","MG_eIF4E_OE_DSG_2018.csv~1.89"
"PPP6R3",NA,"BCK_eIF4E_KD_DSG_2023.xlsx~1.332",NA,NA,NA,NA,NA,NA,NA,"JCM_NCBP2_OE_rMATS_2024.csv~1.530","MG_eIF4E_OE_DSG_2018.csv~1.89"
"PPP6R3",NA,"BCK_eIF4E_KD_DSG_2023.xlsx~1.332",NA,NA,NA,NA,NA,NA,NA,"JCM_NCBP2_OE_rMATS_2024.csv~1.1934","MG_eIF4E_OE_DSG_2018.csv~1.89"
"PPP6R3",NA,"BCK_eIF4E_KD_DSG_2023.xlsx~1.333",NA,NA,NA,NA,NA,NA,NA,"JCM_NCBP2_OE_rMATS_2024.csv~1.529","MG_eIF4E_OE_DSG_2018.csv~1.89"
"PPP6R3",NA,"BCK_eIF4E_KD_DSG_2023.xlsx~1.333",NA,NA,NA,NA,NA,NA,NA,"JCM_NCBP2_OE_rMATS_2024.csv~1.530","MG_eIF4E_OE_DSG_2018.csv~1.89"
"PPP6R3",NA,"BCK_eIF4E_KD_DSG_2023.xlsx~1.333",NA,NA,NA,NA,NA,NA,NA,"JCM_NCBP2_OE_rMATS_2024.csv~1.1934","MG_eIF4E_OE_DSG_2018.csv~1.89"
"TSPAN11",NA,"BCK_eIF4E_KD_DSG_2023.xlsx~1.334",NA,NA,NA,NA,NA,NA,NA,NA,NA
"MVK",NA,"BCK_eIF4E_KD_DSG_2023.xlsx~1.335",NA,"BCK_eIF4E_KD_DSG_2023.xlsx~3.317",NA,NA,NA,NA,NA,"JCM_NCBP2_OE_rMATS_2024.csv~1.1952",NA
"MVK",NA,"BCK_eIF4E_KD_DSG_2023.xlsx~1.335",NA,"BCK_eIF4E_KD_DSG_2023.xlsx~3.317",NA,NA,NA,NA,NA,"JCM_NCBP2_OE_rMATS_2024.csv~1.1953",NA
"WNT5B",NA,"BCK_eIF4E_KD_DSG_2023.xlsx~1.336",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ACAD10",NA,"BCK_eIF4E_KD_DSG_2023.xlsx~1.337",NA,"BCK_eIF4E_KD_DSG_2023.xlsx~3.90","BCK_eIF4E_RIP_2016.csv~1.1207",NA,NA,NA,NA,"JCM_NCBP2_OE_rMATS_2024.csv~1.1958",NA
"ACAD10",NA,"BCK_eIF4E_KD_DSG_2023.xlsx~1.337",NA,"BCK_eIF4E_KD_DSG_2023.xlsx~3.318","BCK_eIF4E_RIP_2016.csv~1.1207",NA,NA,NA,NA,"JCM_NCBP2_OE_rMATS_2024.csv~1.1958",NA
"UHRF1BP1L",NA,"BCK_eIF4E_KD_DSG_2023.xlsx~1.338",NA,NA,NA,NA,NA,NA,NA,NA,NA
"C2CD5",NA,"BCK_eIF4E_KD_DSG_2023.xlsx~1.339",NA,NA,NA,NA,NA,NA,NA,"JCM_NCBP2_OE_rMATS_2024.csv~1.1973",NA
"RIC8B",NA,"BCK_eIF4E_KD_DSG_2023.xlsx~1.340",NA,NA,NA,NA,NA,NA,NA,"JCM_NCBP2_OE_rMATS_2024.csv~1.544",NA
"RIC8B",NA,"BCK_eIF4E_KD_DSG_2023.xlsx~1.340",NA,NA,NA,NA,NA,NA,NA,"JCM_NCBP2_OE_rMATS_2024.csv~1.1974",NA
"RIC8B",NA,"BCK_eIF4E_KD_DSG_2023.xlsx~1.340",NA,NA,NA,NA,NA,NA,NA,"JCM_NCBP2_OE_rMATS_2024.csv~1.1975",NA
"CEP85L",NA,"BCK_eIF4E_KD_DSG_2023.xlsx~1.341",NA,NA,NA,NA,NA,NA,NA,"JCM_NCBP2_OE_rMATS_2024.csv~1.1976",NA
"CEP85L",NA,"BCK_eIF4E_KD_DSG_2023.xlsx~1.342",NA,NA,NA,NA,NA,NA,NA,"JCM_NCBP2_OE_rMATS_2024.csv~1.1976",NA
"CUL9",NA,"BCK_eIF4E_KD_DSG_2023.xlsx~1.343",NA,NA,"BCK_eIF4E_RIP_2016.csv~1.324",NA,NA,NA,NA,NA,NA
"HARS2",NA,"BCK_eIF4E_KD_DSG_2023.xlsx~1.344",NA,NA,"BCK_eIF4E_RIP_2016.csv~1.2739",NA,NA,NA,NA,NA,NA
"CEP72",NA,"BCK_eIF4E_KD_DSG_2023.xlsx~1.345",NA,NA,NA,NA,NA,NA,NA,NA,NA
"GHR",NA,"BCK_eIF4E_KD_DSG_2023.xlsx~1.346",NA,NA,NA,NA,NA,NA,NA,NA,NA
"RAD50",NA,"BCK_eIF4E_KD_DSG_2023.xlsx~1.347",NA,NA,"BCK_eIF4E_RIP_2016.csv~1.1354",NA,NA,NA,NA,"JCM_NCBP2_OE_rMATS_2024.csv~1.2014",NA
"FGF1",NA,"BCK_eIF4E_KD_DSG_2023.xlsx~1.348",NA,NA,NA,NA,NA,NA,NA,NA,NA
"DNAH1",NA,"BCK_eIF4E_KD_DSG_2023.xlsx~1.349","BCK_eIF4E_KD_DSG_2023.xlsx~2.162",NA,"BCK_eIF4E_RIP_2016.csv~1.379",NA,NA,NA,NA,NA,NA
"DNAH1",NA,"BCK_eIF4E_KD_DSG_2023.xlsx~1.349","BCK_eIF4E_KD_DSG_2023.xlsx~2.163",NA,"BCK_eIF4E_RIP_2016.csv~1.379",NA,NA,NA,NA,NA,NA
"EIF4G1",NA,"BCK_eIF4E_KD_DSG_2023.xlsx~1.350","BCK_eIF4E_KD_DSG_2023.xlsx~2.164","BCK_eIF4E_KD_DSG_2023.xlsx~3.334","BCK_eIF4E_RIP_2016.csv~1.1878","BCK_eIF4E_RIP_2025.csv~1.333",NA,NA,NA,"JCM_NCBP2_OE_rMATS_2024.csv~1.2045","MG_eIF4E_OE_DSG_2018.csv~1.97"
"EIF4G1",NA,"BCK_eIF4E_KD_DSG_2023.xlsx~1.350","BCK_eIF4E_KD_DSG_2023.xlsx~2.164","BCK_eIF4E_KD_DSG_2023.xlsx~3.334","BCK_eIF4E_RIP_2016.csv~1.1878","BCK_eIF4E_RIP_2025.csv~1.333",NA,NA,NA,"JCM_NCBP2_OE_rMATS_2024.csv~1.2046","MG_eIF4E_OE_DSG_2018.csv~1.97"
"ACVR1",NA,"BCK_eIF4E_KD_DSG_2023.xlsx~1.351",NA,NA,NA,NA,NA,NA,NA,"JCM_NCBP2_OE_rMATS_2024.csv~1.568",NA
"ACVR1",NA,"BCK_eIF4E_KD_DSG_2023.xlsx~1.351",NA,NA,NA,NA,NA,NA,NA,"JCM_NCBP2_OE_rMATS_2024.csv~1.569",NA
"ASB3",NA,"BCK_eIF4E_KD_DSG_2023.xlsx~1.352",NA,NA,NA,NA,NA,NA,NA,"JCM_NCBP2_OE_rMATS_2024.csv~1.2058",NA
"RTN4",NA,"BCK_eIF4E_KD_DSG_2023.xlsx~1.353",NA,NA,NA,"BCK_eIF4E_RIP_2025.csv~1.341",NA,NA,NA,NA,NA
"SOS1",NA,"BCK_eIF4E_KD_DSG_2023.xlsx~1.354",NA,NA,NA,NA,NA,NA,NA,NA,"MG_eIF4E_OE_DSG_2018.csv~1.254"
"EPHA4",NA,"BCK_eIF4E_KD_DSG_2023.xlsx~1.355",NA,NA,NA,NA,NA,NA,NA,NA,NA
"PRRX1",NA,"BCK_eIF4E_KD_DSG_2023.xlsx~1.356",NA,NA,NA,NA,NA,NA,NA,"JCM_NCBP2_OE_rMATS_2024.csv~1.2074",NA
"PRDM2",NA,"BCK_eIF4E_KD_DSG_2023.xlsx~1.357",NA,NA,"BCK_eIF4E_RIP_2016.csv~1.216",NA,NA,NA,NA,"JCM_NCBP2_OE_rMATS_2024.csv~1.2084",NA
"PRDM2",NA,"BCK_eIF4E_KD_DSG_2023.xlsx~1.357",NA,NA,"BCK_eIF4E_RIP_2016.csv~1.216",NA,NA,NA,NA,"JCM_NCBP2_OE_rMATS_2024.csv~1.2085",NA
"RIMS3",NA,"BCK_eIF4E_KD_DSG_2023.xlsx~1.358",NA,NA,NA,NA,NA,NA,NA,NA,NA
"STAG1",NA,"BCK_eIF4E_KD_DSG_2023.xlsx~1.360",NA,NA,NA,NA,NA,NA,NA,"JCM_NCBP2_OE_rMATS_2024.csv~1.587",NA
"STAG1",NA,"BCK_eIF4E_KD_DSG_2023.xlsx~1.360",NA,NA,NA,NA,NA,NA,NA,"JCM_NCBP2_OE_rMATS_2024.csv~1.588",NA
"STAG1",NA,"BCK_eIF4E_KD_DSG_2023.xlsx~1.360",NA,NA,NA,NA,NA,NA,NA,"JCM_NCBP2_OE_rMATS_2024.csv~1.589",NA
"STAG1",NA,"BCK_eIF4E_KD_DSG_2023.xlsx~1.360",NA,NA,NA,NA,NA,NA,NA,"JCM_NCBP2_OE_rMATS_2024.csv~1.2110",NA
"B4GALT6",NA,"BCK_eIF4E_KD_DSG_2023.xlsx~1.361",NA,NA,NA,NA,NA,NA,NA,"JCM_NCBP2_OE_rMATS_2024.csv~1.591",NA
"B4GALT6",NA,"BCK_eIF4E_KD_DSG_2023.xlsx~1.361",NA,NA,NA,NA,NA,NA,NA,"JCM_NCBP2_OE_rMATS_2024.csv~1.592",NA
